23 - [140] 4,4 
121 - [234] 4,4 
223 - [100] 13,4 
225 - [38] 41,2 
227 - [265] 13,7 
323 - [251] 56,6 
411 - [645] 13,1 
765 - [2] 71,1 
771 - [169] 4,4 
842 - [146] 20,5 
945 - [340] 13,4 
947 - [167] 13,1 
970 - [43] 4,4 
1030 - [66] 13,4 
1042 - [115] 13,1 
1061 - [125] 4,4 
1149 - [393] 4,4 
1151 - [245] 4,4 
1156 - [64] 24,2 
1169 - [317] 4,4 
1173 - [39] 21,8 
1185 - [304] 4,4 
1192 - [3] 4,4 
1199 - [32] 4,4 
1209 - [42] 13,4 
1210 - [274] 4,4 
1225 - [60] 2,1 
1237 - [71] 2,1 
1259 - [161] 2,1 
1278 - [172] 2,1 
1300 - [254] 2,1 
1323 - [305] 2,1 
1345 - [27] 4,4 
1348 - [249] 4,4 
1354 - [225] 4,4 
1356 - [137] 4,4 
1374 - [74] 4,4 
1380 - [229] 4,4 
1433 - [37] 4,4 
1445 - [79] 4,4 
1459 - [70] 41,2 
1465 - [253] 4,4 
1483 - [158] 13,4 
1490 - [83] 4,4 
1515 - [229] 4,4 
1525 - [124] 4,4 
1533 - [24] 4,4 
1544 - [125] 4,4 
1565 - [268] 4,4 
1583 - [13] 4,4 
1614 - [131] 13,1 
1648 - [25] 4,4 
1683 - [23] 29,2 
1684 - [33] 13,1 
1745 - [50] 4,4 
1815 - [107] 41,2 
1857 - [84] 13,7 
1920 - [39] 13,4 
1956 - [93] 21,8 
2029 - [267] 25,1 
2098 - [39] 13,1 
2170 - [47] 21,8 
2236 - [3] 41,8 
2332 - [121] 13,4 
2354 - [39] 13,4 
2355 - [119] 13,4 
2361 - [14] 13,4 
2385 - [50] 13,4 
2410 - [50] 13,4 
2438 - [7] 13,4 
2441 - [7] 71,1 
2465 - [93] 13,4 
2492 - [303] 37,7 
2501 - [114] 37,7 
2507 - [0] 13,4 
2514 - [3] 13,4 
2518 - [506] 13,4 
2536 - [125] 37,7 
2572 - [13] 13,4 
2576 - [134] 13,4 
2593 - [46] 13,4 
2607 - [100] 13,4 
2618 - [211] 145,9 
2627 - [227] 34,6 
2645 - [139] 13,4 
2647 - [1] 13,4 
2653 - [624] 13,4 
2654 - [427] 13,4 
2664 - [11] 25,1 
2674 - [192] 25,1 
2682 - [230] 29,9 
2708 - [89] 13,4 
2722 - [242] 13,4 
2733 - [86] 25,1 
2747 - [384] 37,7 
2772 - [95] 11,0 
2785 - [2] 11,0 
2810 - [120] 11,0 
2831 - [64] 11,0 
2853 - [4] 11,0 
2878 - [134] 11,0 
2885 - [9] 13,1 
2890 - [423] 24,2 
2891 - [51] 13,1 
2897 - [31] 13,1 
2904 - [7] 93,5 
2909 - [9] 13,1 
2937 - [201] 13,1 
2940 - [57] 13,1 
2950 - [740] 24,2 
2960 - [131] 21,8 
2966 - [115] 13,1 
2972 - [77] 13,1 
3038 - [133] 13,1 
3059 - [34] 13,1 
3076 - [129] 106,2 
3108 - [8] 13,1 
3119 - [280] 13,1 
3121 - [251] 29,2 
3137 - [23] 13,1 
3159 - [211] 13,1 
3178 - [243] 13,1 
3200 - [66] 13,1 
3217 - [8] 13,4 
3222 - [206] 37,7 
3239 - [116] 71,8 
3242 - [206] 13,4 
3303 - [101] 25,1 
3423 - [86] 25,1 
3426 - [34] 25,1 
3449 - [218] 79,1 
3563 - [14] 25,1 
3647 - [74] 25,1 
3674 - [139] 66,4 
3836 - [251] 20,5 
3974 - [62] 37,7 
3982 - [25] 29,9 
3990 - [239] 93,5 
4048 - [182] 20,5 
4054 - [521] 93,5 
4164 - [89] 25,1 
4313 - [38] 111,8 
4389 - [207] 72,9 
4414 - [84] 49,1 
4419 - [202] 90,3 
4696 - [32] 32,3 
4769 - [11] 20,5 
4794 - [11] 74,3 
4887 - [132] 35,6 
4956 - [240] 29,9 
5067 - [50] 41,2 
5069 - [29] 29,9 
5117 - [750] 117,4 
5180 - [170] 37,7 
5303 - [9] 93,5 
5305 - [391] 72,9 
5346 - [34] 22,0 
5358 - [66] 22,0 
5364 - [225] 22,0 
5403 - [145] 22,0 
5405 - [27] 21,8 
5413 - [45] 22,0 
5509 - [17] 25,1 
5543 - [166] 73,2 
5594 - [302] 71,8 
5603 - [79] 73,2 
5609 - [2] 24,2 
5680 - [115] 37,7 
5689 - [14] 35,6 
5728 - [23] 66,4 
5739 - [88] 51,6 
5846 - [26] 24,2 
5923 - [14] 29,2 
5933 - [98] 37,7 
5940 - [79] 25,1 
5960 - [111] 29,2 
5962 - [175] 29,2 
5964 - [187] 29,2 
5990 - [21] 29,2 
6019 - [8] 25,1 
6062 - [462] 29,2 
6070 - [188] 29,2 
6111 - [254] 29,2 
6124 - [0] 25,1 
6133 - [352] 25,1 
6156 - [144] 64,4 
6186 - [66] 29,2 
6203 - [100] 29,2 
6219 - [259] 51,6 
6236 - [47] 29,2 
6240 - [69] 25,1 
6247 - [85] 29,2 
6270 - [58] 32,3 
6273 - [69] 25,1 
6281 - [282] 145,9 
6296 - [288] 66,4 
6298 - [135] 25,1 
6302 - [271] 29,2 
6305 - [119] 51,6 
6327 - [212] 29,2 
6331 - [218] 64,4 
6350 - [411] 29,2 
6358 - [369] 25,1 
6362 - [41] 66,4 
6366 - [207] 24,2 
6370 - [37] 66,4 
6386 - [345] 25,1 
6389 - [77] 25,1 
6390 - [84] 25,1 
6396 - [67] 24,2 
6397 - [309] 24,2 
6402 - [4] 25,1 
6407 - [79] 24,2 
6416 - [149] 25,1 
6420 - [104] 24,2 
6448 - [9] 25,1 
6452 - [19] 24,2 
6482 - [207] 26,0 
6506 - [9] 26,6 
6524 - [85] 26,6 
6526 - [201] 25,1 
6527 - [46] 26,6 
6529 - [33] 24,2 
6556 - [181] 26,6 
6557 - [273] 25,1 
6558 - [30] 24,2 
6581 - [138] 51,6 
6596 - [87] 51,6 
6610 - [68] 51,6 
6630 - [55] 157,9 
6661 - [292] 29,2 
6680 - [162] 41,2 
6695 - [201] 51,6 
6726 - [71] 51,6 
6738 - [630] 66,4 
6782 - [16] 66,4 
6815 - [235] 29,2 
6859 - [272] 32,3 
6904 - [13] 51,6 
6934 - [181] 66,4 
6959 - [207] 29,2 
6974 - [203] 41,2 
6986 - [40] 41,2 
7008 - [18] 29,2 
7036 - [324] 51,6 
7041 - [505] 29,2 
7047 - [142] 56,6 
7068 - [89] 56,6 
7082 - [68] 56,6 
7113 - [14] 29,2 
7143 - [143] 29,2 
7146 - [66] 29,2 
7148 - [170] 29,2 
7155 - [183] 34,6 
7164 - [156] 29,2 
7171 - [14] 79,8 
7176 - [66] 56,6 
7179 - [117] 29,2 
7208 - [17] 29,2 
7227 - [178] 56,6 
7279 - [40] 29,2 
7281 - [58] 72,2 
7282 - [196] 29,2 
7309 - [9] 29,2 
7322 - [253] 116,7 
7333 - [26] 35,6 
7508 - [210] 56,9 
7512 - [123] 56,6 
7515 - [53] 32,3 
7518 - [66] 32,3 
7567 - [70] 41,2 
7636 - [237] 33,0 
7641 - [184] 32,8 
7647 - [108] 33,0 
7651 - [55] 32,3 
7665 - [350] 33,0 
7667 - [0] 32,3 
7673 - [12] 33,0 
7674 - [282] 32,3 
7724 - [102] 41,2 
7727 - [401] 34,6 
7742 - [67] 56,6 
7755 - [78] 56,6 
7784 - [64] 56,6 
7785 - [399] 56,6 
7839 - [44] 56,6 
